alg,scale,model_selection,threshold,accuracy
RF,non-scaled,RF-select,0.0,0.8707010582010583
NB,non-scaled,NB-select,0.0,0.6008597883597884
RF,non-scaled,RF-select,0.05,0.8707010582010583
NB,non-scaled,NB-select,0.05,0.6008597883597884
RF,non-scaled,RF-select,0.1,0.8667328042328042
NB,non-scaled,NB-select,0.1,0.6008597883597884
RF,non-scaled,RF-select,0.15,0.8673941798941799
NB,non-scaled,NB-select,0.15,0.5985449735449735
RF,non-scaled,RF-select,0.2,0.8687169312169312
NB,non-scaled,NB-select,0.2,0.5965608465608465
RF,non-scaled,RF-select,0.3,0.8703703703703703
NB,non-scaled,NB-select,0.3,0.5929232804232805
RF,non-scaled,Correlation-select,0.05,0.8687169312169312
NB,non-scaled,Correlation-select,0.05,0.6028439153439153
RF,non-scaled,Correlation-select,0.1,0.8740079365079365
NB,non-scaled,Correlation-select,0.1,0.5988756613756614
RF,non-scaled,Correlation-select,0.12,0.8716931216931217
NB,non-scaled,Correlation-select,0.12,0.5958994708994709
RF,non-scaled,Correlation-select,0.15,0.8723544973544973
NB,non-scaled,Correlation-select,0.15,0.5972222222222222
RF,non-scaled,Correlation-select,0.18,0.8693783068783069
NB,non-scaled,Correlation-select,0.18,0.5952380952380952
RF,non-scaled,Correlation-select,0.2,0.8713624338624338
NB,non-scaled,Correlation-select,0.2,0.5912698412698413
RF,non-scaled,Correlation-select,0.3,0.8713624338624338
NB,non-scaled,Correlation-select,0.3,0.5853174603174603
RF,standard-scale,RF-select,0.0,0.8697089947089947
NB,standard-scale,NB-select,0.0,0.47156084656084657
RF,standard-scale,RF-select,0.05,0.8713624338624338
NB,standard-scale,NB-select,0.05,0.47156084656084657
RF,standard-scale,RF-select,0.1,0.8664021164021164
NB,standard-scale,NB-select,0.1,0.48544973544973546
RF,standard-scale,RF-select,0.15,0.8697089947089947
NB,standard-scale,NB-select,0.15,0.4685846560846561
RF,standard-scale,RF-select,0.2,0.8713624338624338
NB,standard-scale,NB-select,0.2,0.48412698412698413
RF,standard-scale,RF-select,0.3,0.8707010582010583
NB,standard-scale,NB-select,0.3,0.47585978835978837
RF,standard-scale,Correlation-select,0.05,0.8673941798941799
NB,standard-scale,Correlation-select,0.05,0.4755291005291005
RF,standard-scale,Correlation-select,0.1,0.8743386243386243
NB,standard-scale,Correlation-select,0.1,0.4851190476190476
RF,standard-scale,Correlation-select,0.12,0.8700396825396826
NB,standard-scale,Correlation-select,0.12,0.48478835978835977
RF,standard-scale,Correlation-select,0.15,0.8720238095238095
NB,standard-scale,Correlation-select,0.15,0.4851190476190476
RF,standard-scale,Correlation-select,0.18,0.8700396825396826
NB,standard-scale,Correlation-select,0.18,0.4781746031746032
RF,standard-scale,Correlation-select,0.2,0.8716931216931217
NB,standard-scale,Correlation-select,0.2,0.46924603174603174
RF,standard-scale,Correlation-select,0.3,0.8716931216931217
NB,standard-scale,Correlation-select,0.3,0.4699074074074074
RF,min-max-scale,RF-select,0.0,0.8690476190476191
NB,min-max-scale,NB-select,0.0,0.4751984126984127
RF,min-max-scale,RF-select,0.05,0.8697089947089947
NB,min-max-scale,NB-select,0.05,0.4751984126984127
RF,min-max-scale,RF-select,0.1,0.8687169312169312
NB,min-max-scale,NB-select,0.1,0.48677248677248675
RF,min-max-scale,RF-select,0.15,0.8713624338624338
NB,min-max-scale,NB-select,0.15,0.4656084656084656
RF,min-max-scale,RF-select,0.2,0.8693783068783069
NB,min-max-scale,NB-select,0.2,0.4880952380952381
RF,min-max-scale,RF-select,0.3,0.873015873015873
NB,min-max-scale,NB-select,0.3,0.4728835978835979
RF,min-max-scale,Correlation-select,0.05,0.8670634920634921
NB,min-max-scale,Correlation-select,0.05,0.47585978835978837
RF,min-max-scale,Correlation-select,0.1,0.8736772486772487
NB,min-max-scale,Correlation-select,0.1,0.48644179894179895
RF,min-max-scale,Correlation-select,0.12,0.8713624338624338
NB,min-max-scale,Correlation-select,0.12,0.48644179894179895
RF,min-max-scale,Correlation-select,0.15,0.871031746031746
NB,min-max-scale,Correlation-select,0.15,0.48644179894179895
RF,min-max-scale,Correlation-select,0.18,0.8687169312169312
NB,min-max-scale,Correlation-select,0.18,0.478505291005291
RF,min-max-scale,Correlation-select,0.2,0.8723544973544973
NB,min-max-scale,Correlation-select,0.2,0.4712301587301587
RF,min-max-scale,Correlation-select,0.3,0.8707010582010583
NB,min-max-scale,Correlation-select,0.3,0.4718915343915344
RF,normalized,RF-select,0.0,0.8697089947089947
NB,normalized,NB-select,0.0,0.4546957671957672
RF,normalized,RF-select,0.05,0.8667328042328042
NB,normalized,NB-select,0.05,0.455026455026455
RF,normalized,RF-select,0.1,0.8697089947089947
NB,normalized,NB-select,0.1,0.47255291005291006
RF,normalized,RF-select,0.15,0.8700396825396826
NB,normalized,NB-select,0.15,0.4503968253968254
RF,normalized,RF-select,0.2,0.8720238095238095
NB,normalized,NB-select,0.2,0.4626322751322751
RF,normalized,RF-select,0.3,0.8683862433862434
NB,normalized,NB-select,0.3,0.45866402116402116
RF,normalized,Correlation-select,0.05,0.8683862433862434
NB,normalized,Correlation-select,0.05,0.4460978835978836
RF,normalized,Correlation-select,0.1,0.8697089947089947
NB,normalized,Correlation-select,0.1,0.4593253968253968
RF,normalized,Correlation-select,0.12,0.8716931216931217
NB,normalized,Correlation-select,0.12,0.460978835978836
RF,normalized,Correlation-select,0.15,0.8680555555555556
NB,normalized,Correlation-select,0.15,0.4695767195767196
RF,normalized,Correlation-select,0.18,0.8687169312169312
NB,normalized,Correlation-select,0.18,0.4705687830687831
RF,normalized,Correlation-select,0.2,0.8707010582010583
NB,normalized,Correlation-select,0.2,0.4699074074074074
RF,normalized,Correlation-select,0.3,0.8690476190476191
NB,normalized,Correlation-select,0.3,0.46825396825396826
